XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
45.900002;0.022058181;0.016622806;-0.095288217;-0.098586269
46;0.020978559;0.016240314;-0.09527991;-0.098464169
46.099998;0.019731725;0.016023686;-0.095281631;-0.098193444
46.200001;0.018313251;0.015992915;-0.095344163;-0.097814307
46.299999;0.016733579;0.016106822;-0.095519379;-0.097386524
46.400002;0.015021864;0.016272053;-0.09585087;-0.096979395
46.5;0.013226742;0.016365146;-0.09636566;-0.096662775
46.599998;0.011412608;0.016260687;-0.097069137;-0.096500516
46.700001;0.009650987;0.015857495;-0.097944684;-0.096546747
46.799999;0.008008218;0.01509637;-0.098957755;-0.096843876
46.900002;0.006532093;0.013966156;-0.10006288;-0.097421072
47;0.005240853;0.01249861;-0.10121144;-0.098292008
47.099998;0.004117864;0.010755587;-0.10235795;-0.099451743
47.200001;0.003113968;0.008813565;-0.10346326;-0.10087353
47.299999;0.002157601;0.00675012;-0.10449489;-0.10250729
47.400002;0.001170618;0.004635268;-0.10542492;-0.10428144
47.5;8.60E-05;0.002528135;-0.10622761;-0.10610938
47.599998;-0.001136581;0.000477469;-0.10687826;-0.10790021
47.700001;-0.002502216;-0.001476593;-0.10735431;-0.10957204
47.799999;-0.003979679;-0.003301778;-0.10763893;-0.1110649
47.900002;-0.005509442;-0.004975057;-0.10772575;-0.11234985
48;-0.00701748;-0.006485589;-0.10762324;-0.11343143
48.099998;-0.008431468;-0.007837497;-0.10735676;-0.11434225
